x_H_1,x_H_2,xt,x_G
0.09482442,0.3714734,0.16137382,0.37232828
0.09257096,0.36937547,0.16354442,0.3745091
0.094290346,0.37202427,0.16041651,0.37326893
0.092394635,0.37204733,0.16069259,0.37486535
0.09413824,0.3734029,0.16366185,0.36879706
0.09475559,0.37059304,0.16348208,0.37116924
0.096108735,0.37516642,0.16014153,0.3685833
0.0948872,0.3759537,0.15919735,0.36996177
0.0976256,0.3756878,0.15703118,0.36965537
0.10149367,0.37592608,0.15503916,0.36754122
0.09694577,0.37303355,0.15710947,0.37291119
0.09526895,0.37071785,0.15664455,0.3773687
0.0946963,0.37466088,0.15704395,0.37359896
0.09187685,0.37740952,0.15495984,0.37575376
0.09320612,0.378815,0.15521814,0.3727608
0.0902853,0.3753522,0.15330759,0.38105494
0.09145568,0.37836802,0.1523704,0.377806
0.092449166,0.37775713,0.15486065,0.37493294
0.09434427,0.37361997,0.1520642,0.37997156
0.09382461,0.3785273,0.15149926,0.37614885
0.092286974,0.37483975,0.15260984,0.38026342
0.09189192,0.37663665,0.15397014,0.37750116
0.094800465,0.37433532,0.15306923,0.37779507
0.092917256,0.37898418,0.15169604,0.37640256
0.09043713,0.38148957,0.14942907,0.37864435
0.09113166,0.3761007,0.15542991,0.3773377
0.089821756,0.37487873,0.15505862,0.38024086
0.09025221,0.3756416,0.15351622,0.3805899
0.088937484,0.37938994,0.14926718,0.38240543
0.09019308,0.38240772,0.14942928,0.37796998
0.09830293,0.38042796,0.14524885,0.37602034
0.093953185,0.38381806,0.14367254,0.3785562
0.09603596,0.3803061,0.14534724,0.37831077
0.093579635,0.37778857,0.14661123,0.3820204
0.09205552,0.38168034,0.14461738,0.38164672
0.091540396,0.3825274,0.144046,0.38188607
0.09272241,0.37599295,0.141347,0.38993764
0.09577435,0.38240713,0.14194223,0.37987623
0.09414575,0.38179076,0.14183399,0.3822295
0.093708836,0.3829632,0.14041857,0.3829094
0.09287056,0.38497815,0.14042017,0.38173115
0.090631336,0.38354936,0.14256875,0.38325042
0.08969273,0.37803861,0.14140633,0.39086238
0.09275462,0.37521365,0.14063816,0.39139363
0.09706336,0.3750655,0.13532828,0.3925428
0.097872,0.37805772,0.13592163,0.38814875
0.09346889,0.38350713,0.13780312,0.38522083
0.09667419,0.3794884,0.13197857,0.39185882
0.09532006,0.37931865,0.13578919,0.38957205
0.09447116,0.37325436,0.13946544,0.39280918
0.09678892,0.36798352,0.14171201,0.39351562
0.09485557,0.37302223,0.14095724,0.39116505
0.09135793,0.37617832,0.1397668,0.39269692
0.095255114,0.36562255,0.14331146,0.39581084
0.096984774,0.3666444,0.1398307,0.39654008
0.09520781,0.36989012,0.14065588,0.39424613
0.09084327,0.36937228,0.13767448,0.40210995
0.09278642,0.37141076,0.14046137,0.39534146
0.0934783,0.3697264,0.13783279,0.39896253
0.09295644,0.36850685,0.14000022,0.39853653
0.09122571,0.37132826,0.13868237,0.39876363
0.09059102,0.37928605,0.13776559,0.39235738
0.08751577,0.37232134,0.1360373,0.40412557
